"country_of_origin","aroma","flavor","acidity","category_two_defects","altitude_mean_meters","harvested","Qualityclass"
"Mexico",7.08,7.33,7.33,12,1100,2012,"Poor"
"Colombia",7.5,7.42,7.5,4,1800,2013,"Good"
"Mexico",7.67,7.58,7.75,4,1300,2012,"Good"
"Guatemala",7.67,7.58,7.67,1,1300,2012,"Good"
"Burundi",7.08,7.25,7.33,0,1700,2016,"Poor"
"Guatemala",7.67,7.67,7.58,2,1901,2017,"Poor"
"Costa Rica",7.58,7.5,7.92,4,1850,2016,"Good"
"Guatemala",7.92,8.08,8.08,3,NA,2016,"Good"
"Taiwan",7.67,7.5,7.5,0,1000,2015,"Good"
"Ethiopia",7.75,8.08,8.25,4,1750,2010,"Good"
"Colombia",7.83,7.83,7.33,1,1600,2011,"Good"
"Colombia",7.33,7.25,7.58,1,1750,2013,"Poor"
"Mexico",7.83,7.67,7.58,3,1059,2015,"Good"
"Colombia",7.5,7.42,7.42,0,NA,2013,"Poor"
"Guatemala",8,7.5,8,0,1356.6648,2014,"Good"
"Nicaragua",7.5,7.5,7.42,1,1000,NA,"Poor"
"Guatemala",7.75,7.83,7.83,0,1219.2,2014,"Good"
"Taiwan",7.5,7.5,7.5,0,200,2014,"Poor"
"El Salvador",7.58,7.5,7.58,0,1330,2016,"Good"
"United States (Puerto Rico)",7.42,7.08,7.33,0,853.44,2013,"Poor"
"Mexico",7.42,7,7.08,4,1400,2012,"Poor"
"Tanzania, United Republic Of",7.58,7.5,7.58,4,1550,2014,"Good"
"Mexico",7.25,6.83,7.08,8,1100,2012,"Poor"
"Mexico",6.92,6.92,6.92,24,800,2012,"Poor"
"Nicaragua",7.33,7.5,7.17,7,1200,2016,"Poor"
"Tanzania, United Republic Of",7.67,7.17,7.33,2,1050,2016,"Poor"
"Ethiopia",8.42,8.17,8.17,1,NA,2013,"Good"
"Guatemala",7.67,7.75,7.75,0,NA,2013,"Good"
"Guatemala",7.5,7.5,7.67,1,1859.28,2013,"Poor"
"Guatemala",7.42,7.25,7.33,2,1219.2,2014,"Poor"
"Guatemala",7.5,7.83,7.83,3,1310.64,2013,"Good"
"Nicaragua",7.25,6.58,6.25,5,1100,2016,"Poor"
"Taiwan",7.33,7.08,7.08,1,NA,2016,"Poor"
"Indonesia",7.67,7.58,7.58,0,1350,2010,"Good"
"Honduras",7.25,7.33,7.5,1,1450,2015,"Poor"
"Taiwan",7.67,7.67,7.08,0,NA,2015,"Good"
"Haiti",6.92,6.75,7.17,0,1020,2010,"Poor"
"Honduras",7.5,7.33,7.42,2,1450,2015,"Poor"
"Malawi",7.33,7.58,7.58,0,1450,2014,"Poor"
"United States (Hawaii)",7.83,7.67,7.67,0,NA,NA,"Good"
"United States (Hawaii)",7.08,6.92,6.67,5,NA,2013,"Poor"
"Mexico",7.42,7.42,7.33,1,1500,2012,"Poor"
"Brazil",7.5,7.33,7.58,3,890,2018,"Poor"
"Guatemala",7.33,7.17,7.58,3,1219.2,2014,"Poor"
"Philippines",7.08,7.33,7.33,3,1400,2014,"Poor"
"Brazil",7.33,7.58,7.17,0,1100,2015,"Poor"
"Guatemala",8.17,7.83,7.83,2,1310.64,2013,"Good"
"Honduras",7.25,7.25,7,4,1400,2016,"Poor"
"Colombia",8,8,8.17,0,1800,2013,"Good"
"Uganda",7.75,7.42,7.58,1,1200,2013,"Poor"
"United States (Hawaii)",7.5,7.92,7.83,0,NA,NA,"Good"
"Mexico",7.5,7.58,7.5,0,1300,2012,"Poor"
"Guatemala",7.67,7.75,7.58,3,1700,2017,"Good"
"Guatemala",7.75,7.75,8,6,1116.7872,2016,"Good"
"Brazil",7.42,7.42,7.33,3,1260,2014,"Poor"
"Uganda",8,7.75,7.58,7,1367,2013,"Poor"
"Brazil",7.42,7.42,7.33,2,NA,2016,"Good"
"Mexico",7.67,7.58,7.58,9,1170,2012,"Poor"
"Philippines",8.08,7.5,7.42,0,1600,2014,"Good"
"Brazil",7.42,7.5,7.33,0,1260,2014,"Good"
"Kenya",8.08,8,8.25,1,1800,2013,"Good"
"United States (Puerto Rico)",7.67,7.75,7.58,0,853.44,2013,"Poor"
"India",7.92,7.83,8,0,1000,2015,"Good"
"Brazil",7.17,7.33,7.08,1,995,2018,"Poor"
"Colombia",7.75,7.75,7.75,2,1750,2012,"Good"
"India",7.42,6.83,7.17,1,NA,2013,"Poor"
"Guatemala",7.42,7.33,7.58,0,1371.6,2016,"Poor"
"Ethiopia",7.5,7.75,7.92,2,NA,NA,"Good"
"Honduras",7.25,7.25,7.17,0,1400,2015,"Poor"
"Brazil",7.42,7.5,7.5,0,NA,2016,"Poor"
"Mexico",7.42,7.5,7.58,1,1100,2012,"Poor"
"Colombia",7.17,7.25,7.42,2,NA,NA,"Poor"
"Brazil",7.67,7.67,7.5,1,1200,2015,"Good"
"Brazil",7.42,7.42,7.33,10,1250,2013,"Poor"
"Mexico",7.58,7.75,7.5,2,1400,2014,"Poor"
"United States (Hawaii)",7.75,7.92,7.75,1,NA,NA,"Good"
"Mexico",7.33,7.42,7.67,14,1550,2012,"Poor"
"Taiwan",7.42,7.25,7.17,0,850,2014,"Poor"
"Brazil",8.42,7.92,7.75,3,12,2010,"Good"
"Uganda",7.58,7.92,7.83,1,1095,2014,"Poor"
"Peru",7.58,7.58,7.75,3,NA,2013,"Poor"
"Honduras",7.5,7.58,7.5,8,1396,2017,"Poor"
"Taiwan",7.5,7.5,7.5,0,650,2014,"Poor"
"Mexico",7.83,7.58,7.5,14,1170,2012,"Good"
"Colombia",7.67,7.42,7.58,0,165,2014,"Good"
"Brazil",7.92,7.5,7.67,0,1260,2014,"Good"
"Mexico",7,7,7.33,1,1400,2012,"Poor"
"Mexico",7.58,7.33,7.25,8,808,2012,"Poor"
"Guatemala",7.67,7.75,7.83,2,1500,2014,"Good"
"United States (Hawaii)",7.83,7.67,7.67,0,NA,NA,"Good"
"Guatemala",7.5,7,7.08,6,1310.64,2013,"Poor"
"Indonesia",7.75,7.17,7.33,0,1400,2012,"Poor"
"United States (Hawaii)",7.33,7.42,7.67,1,NA,2013,"Poor"
"Honduras",7.92,8,7.67,3,1500,2016,"Good"
"United States (Hawaii)",8.08,7.83,7.75,0,NA,NA,"Good"
"Indonesia",6.92,6.83,6.92,1,1300,2016,"Poor"
"Colombia",7.5,7.42,7.5,1,1750,2013,"Poor"
"United States (Hawaii)",7.5,7.5,7.58,8,NA,2014,"Poor"
"Mexico",7.5,7.42,7.42,2,1200,2012,"Poor"
"Taiwan",7.5,6.92,7.33,0,1100,2014,"Poor"
"Colombia",7.83,8,7.75,8,2136,2012,"Good"
"Colombia",7.67,7.42,7.42,3,1550,2014,"Good"
"Guatemala",7.67,7.67,7.67,0,1500,2012,"Good"
"Taiwan",7,7.08,7.17,0,NA,NA,"Poor"
"Brazil",7.25,7.58,8,0,1,2016,"Good"
"Ethiopia",8.17,8.58,8.42,2,2000,2014,"Good"
"Guatemala",7.67,8,8,2,NA,2012,"Good"
"Colombia",7.75,7.67,7.67,0,442,2015,"Good"
"Kenya",7,7.08,7.17,5,1500,2017,"Poor"
"Uganda",7.67,7.67,7.75,5,1800,2013,"Good"
"Vietnam",7.67,7.33,7.58,17,1040,2012,"Good"
"Tanzania, United Republic Of",7.58,7.42,7.33,6,1650,2015,"Poor"
"Colombia",7.58,7.5,7.33,2,1900,2013,"Good"
"Colombia",7.75,7.25,7.42,3,1750,2013,"Good"
"Brazil",7.17,7.83,7.5,0,1,2016,"Poor"
"Ethiopia",7.92,7.75,8.08,2,NA,NA,"Good"
"Guatemala",7.5,7.67,7.67,4,1700,2017,"Good"
"Guatemala",7.67,7.42,7.17,0,1500,2016,"Poor"
"Guatemala",7.42,7.5,7.42,6,1550,2014,"Poor"
"Kenya",7.83,7.75,7.75,1,250.5,2014,"Good"
"China",8.42,8.25,8.17,0,1450,2015,"Good"
"Brazil",7.58,7.5,7.5,2,950,2012,"Poor"
"United States (Hawaii)",7.42,7.42,7.58,0,NA,2012,"Poor"
"Colombia",7.75,7.75,7.58,4,NA,2016,"Good"
"Tanzania, United Republic Of",7.75,7.67,7.67,4,1600,2014,"Good"
"Colombia",7.75,7.42,7.5,1,1775,2013,"Good"
"Brazil",7.5,7.58,7.67,5,894,2016,"Good"
"Honduras",7.67,7.67,7.67,1,1450,2016,"Good"
"Thailand",7.17,7.17,7,0,NA,NA,"Poor"
"Guatemala",7.58,7.42,7.5,5,1524,2014,"Poor"
"Mexico",7.17,7.17,7.25,7,1100,2012,"Poor"
"Honduras",7.58,7.5,7.58,2,1350,2015,"Poor"
"Brazil",7.33,7.5,7.33,11,982,2016,"Poor"
"Nicaragua",7.67,7.75,7.67,3,1250,2016,"Good"
"Ethiopia",7.67,7.75,7.58,18,1600,2014,"Good"
"Panama",8,8,8.08,0,1600,2017,"Good"
"Mexico",6.75,7.08,7.25,12,1300,2012,"Poor"
"Guatemala",7.83,7.75,7.92,2,1706.88,2013,"Good"
"Mexico",7.58,7.75,7.5,6,1300,2013,"Good"
"India",7.5,7.5,7.83,0,750,2013,"Poor"
"Philippines",7.25,7.25,7.08,4,1200,2014,"Poor"
"Colombia",7.83,7.75,7.58,1,NA,2014,"Good"
"Papua New Guinea",8.33,8.42,8.33,1,1700,2012,"Good"
"El Salvador",7.5,7.5,7.67,0,1350,2016,"Good"
"Mexico",7,7,7.33,23,950,2012,"Poor"
"Brazil",7.33,7.83,7.5,6,NA,2014,"Good"
"Colombia",7.58,7.67,7.75,2,1750,2013,"Good"
"Nicaragua",7.08,7.5,7.25,0,NA,2016,"Poor"
"Colombia",7.67,7.67,7.67,2,442,2016,"Good"
"Colombia",7.67,7.42,7.83,0,NA,2014,"Good"
"Colombia",7.75,7.58,7.5,0,1000,2016,"Good"
"Colombia",7.67,7.83,7.75,3,1550,2014,"Good"
"Colombia",7.5,7.5,7.42,0,1775,2013,"Poor"
"Guatemala",7.67,7.67,7.67,3,1310.64,2013,"Good"
"El Salvador",7.92,8.17,7.92,3,1500,2013,"Good"
"Brazil",8,7.92,7.75,2,1200,2011,"Good"
"Uganda",7.75,7.92,7.67,1,1650,2013,"Good"
"Mexico",6.92,7,6.92,1,1000,2014,"Poor"
"Brazil",7.25,7.75,7.42,0,1,2016,"Poor"
"Brazil",7.58,7.83,7.67,3,1038.5,2012,"Good"
"Colombia",8,7.33,7.33,15,NA,2013,"Poor"
"Colombia",7.58,7.67,7.67,1,1750,2013,"Good"
"Tanzania, United Republic Of",7.67,7.42,7.58,1,1600,2014,"Good"
"Honduras",7.58,7.5,7.33,1,1400,2017,"Poor"
"Mexico",7.5,7.42,7.5,8,690,2012,"Poor"
"Taiwan",7.42,7.25,7.25,0,300,2014,"Poor"
"Guatemala",7.83,7.42,7.67,4,1310.64,2013,"Good"
"Guatemala",7.75,7.67,7.75,2,1371.6,2015,"Good"
"Colombia",7.58,7.75,7.58,3,NA,2014,"Good"
"Guatemala",7.83,7.75,7.67,1,1770,2014,"Good"
"Guatemala",7.5,7.33,7.58,4,1524,2013,"Poor"
"United States (Hawaii)",7.83,7,7.58,10,NA,NA,"Poor"
"Ethiopia",7.75,7.75,7.58,40,1550,2013,"Good"
"Brazil",7.25,6.58,7,0,NA,2016,"Poor"
"Mexico",7.5,7.17,7.25,1,100,2012,"Poor"
"Guatemala",7.83,7.67,7.33,1,1310.64,2013,"Poor"
"United States (Hawaii)",7.67,7.58,7.83,0,NA,2013,"Good"
"Costa Rica",6.33,6.5,6.83,7,1200,2014,"Poor"
"Honduras",7,7.17,7.17,16,1350,2014,"Poor"
"Nicaragua",7.17,7,7,4,1100,2016,"Poor"
"Guatemala",7.75,7.5,7.5,10,1402.08,2012,"Good"
"Mexico",7.67,7.75,7.67,32,900,2012,"Good"
"Uganda",8,7.67,7.42,0,1800,2014,"Good"
"Kenya",8,7.92,8.08,6,1200,2012,"Good"
"Vietnam",7.25,7.58,7.42,0,1040,2014,"Good"
"Ethiopia",8.42,8,8,7,1700,2014,"Good"
"Uganda",8,7.5,7.58,0,1650,2013,"Good"
"Mexico",7.58,7.58,7.75,11,NA,2014,"Good"
"Guatemala",7.42,7.42,7.42,1,1700,2017,"Poor"
"China",7,6.92,7.17,5,1850,2013,"Poor"
"Honduras",7.5,7.42,7.42,3,1200,2018,"Poor"
"United States (Hawaii)",7.25,7.08,7.17,0,NA,2014,"Poor"
"United States",7.42,7.58,7.5,9,1200,2014,"Good"
"Mexico",7.42,7.25,7,3,1248,2012,"Poor"
"Honduras",7,6.17,6.67,3,1450,2014,"Poor"
"Colombia",7.42,7.25,7.25,3,1200,2013,"Poor"
"Brazil",8,8,8,2,1000,2011,"Good"
"United States (Hawaii)",7.5,6.92,7.25,8,NA,2013,"Poor"
"Nicaragua",7.08,7,6.83,7,NA,2016,"Poor"
"Mexico",7.42,7.58,7.58,9,1300,2012,"Poor"
"Indonesia",7.67,7.67,7.58,3,1400,2017,"Good"
"Mexico",7.75,7.33,7.58,1,1170,2012,"Poor"
"Guatemala",7.5,7.5,7.58,1,1219.2,2017,"Good"
"Brazil",7.58,7.67,7.75,7,934,2016,"Good"
"Guatemala",7.67,7.58,7.67,0,1700,2016,"Poor"
"Brazil",7.17,7.58,7.5,1,1,2016,"Poor"
"El Salvador",7.67,7.67,7.33,4,1250,2017,"Good"
"United States (Hawaii)",7.75,8,8.08,0,NA,NA,"Good"
"Nicaragua",6.83,7.08,6.75,1,NA,2014,"Poor"
"Guatemala",7.08,7,7.33,19,1325.88,2010,"Poor"
"Laos",7.67,7.67,7.42,0,1300,2015,"Good"
"Thailand",7.92,8.17,8.42,0,NA,2012,"Good"
"Honduras",7.5,7.5,7.42,5,1400,2017,"Poor"
"Brazil",7.75,7.75,7.42,0,1250,2012,"Poor"
"Brazil",7.58,7.5,7.25,1,NA,2014,"Poor"
"Uganda",7.67,7.5,7.67,0,1650,2013,"Good"
"Guatemala",8,7.92,7.58,0,1219.2,2014,"Good"
"Brazil",7.5,7.42,7.42,2,125,2012,"Poor"
"Ethiopia",7.83,7.83,8.08,2,NA,NA,"Good"
"Mexico",7.25,7.33,7,7,850,2012,"Poor"
"Guatemala",7.75,7.83,7.92,1,1524,2014,"Good"
"Taiwan",7.83,7.67,7.67,0,650,2016,"Good"
"Haiti",6.75,6.58,6.67,16,350,2012,"Poor"
"Tanzania, United Republic Of",7.42,7.33,7.42,0,1500,2014,"Poor"
"Brazil",8.33,8,8,2,1250,2011,"Good"
"Tanzania, United Republic Of",7.25,7.08,7.33,1,1400,2014,"Poor"
"Mexico",7.17,7.08,7.08,3,1100,2012,"Poor"
"Guatemala",7.83,7.67,7.67,2,1500,2015,"Good"
"Guatemala",7.25,7.33,7,4,1219.2,2014,"Poor"
"Guatemala",7.42,7.33,7.67,3,1219.2,2017,"Poor"
"Mexico",6.67,6.33,6.83,0,1200,2010,"Poor"
"Colombia",7.58,7.58,7.75,1,1813,2015,"Good"
"Guatemala",6.42,6.5,7.33,4,NA,2012,"Poor"
"Mexico",7.83,7.58,7.5,5,700,2012,"Good"
"Guatemala",7.58,7.83,7.83,2,3280,2016,"Good"
"United States (Hawaii)",7.83,7.75,7.83,9,NA,2012,"Good"
"Colombia",7.75,7.58,7.83,0,1800,2013,"Good"
"Colombia",7.5,7.42,7.17,0,1750,2011,"Poor"
"Colombia",7.33,7.58,7.58,2,1750,2011,"Poor"
"Colombia",7.58,7.67,7.67,4,1799,2016,"Good"
"United States (Hawaii)",7.42,7.33,7.5,31,NA,2012,"Poor"
"Guatemala",7.67,7.83,7.5,2,1500,2014,"Good"
"Guatemala",7.75,7.83,7.83,1,1700,2017,"Good"
"Ethiopia",8.67,8.83,8.75,0,2075,2014,"Good"
"Brazil",7.58,7.67,7.5,1,1000,2012,"Poor"
"Colombia",7.67,7.5,7.5,3,1775,2012,"Good"
"Honduras",7.5,7.17,7.42,5,1400,2014,"Poor"
"Colombia",7.75,7.67,7.75,2,442,2016,"Good"
"Uganda",8.25,8,8.08,0,1650,2012,"Good"
"Colombia",8,7.5,7.67,0,1775,2015,"Good"
"Colombia",7.75,7.5,7.58,9,NA,2015,"Good"
"Ethiopia",8.25,8.33,8.25,2,1635,2010,"Good"
"Ethiopia",7.83,8,7.92,7,1900,2015,"Good"
"Costa Rica",8,7.58,7.75,4,1200,2014,"Good"
"Taiwan",7.42,7.25,7.25,0,900,2014,"Poor"
"Peru",7.42,7.75,7.67,9,1200,2014,"Poor"
"Guatemala",7.5,7.5,7.42,1,1700,2017,"Poor"
"Mexico",7.33,7.58,7.67,0,1100,2012,"Poor"
"Mexico",7.17,6.92,6.83,20,1200,2012,"Poor"
"Kenya",7.75,7.75,8.08,0,NA,2013,"Good"
"Mexico",8,7.75,7.33,0,1300,2012,"Poor"
"Guatemala",7.75,7.33,7.42,10,1402.08,2012,"Poor"
"Mexico",7.25,7.08,7.33,45,1100,2012,"Poor"
"Colombia",7.67,7.42,7.5,9,1775,2013,"Poor"
"United States (Hawaii)",7.58,7.5,7.33,1,NA,NA,"Poor"
"Mexico",7.67,7.75,7.75,12,940,2012,"Good"
"Thailand",7.5,7.83,7.58,0,NA,2011,"Good"
"Mexico",7.08,7,7.25,11,1200,2012,"Poor"
"Mexico",7.75,7.58,7.58,7,NA,2012,"Good"
"United States (Hawaii)",7.58,7.67,7.5,0,NA,NA,"Good"
"Colombia",7.83,7.67,7.58,1,1600,2014,"Good"
"Colombia",7.75,7.33,7,2,1880,2010,"Poor"
"Guatemala",7,7.17,7.33,12,1400,2012,"Poor"
"Thailand",7.75,7.75,8,2,1499.9208,2011,"Good"
"United States (Hawaii)",7.33,7.75,7.33,8,NA,2013,"Good"
"Taiwan",7.5,7.5,7.5,0,600,2014,"Poor"
"Guatemala",8,7.83,7.83,4,1310.64,2012,"Good"
"Guatemala",7.83,7.83,7.92,1,1219.2,2014,"Good"
"Uganda",7.92,7.75,7.75,1,1750,2016,"Good"
"Mexico",7.08,6.83,7,14,1400,2012,"Poor"
"Brazil",8,8,7.5,2,1050,2011,"Good"
"United States (Hawaii)",7.5,7.67,7.92,0,NA,NA,"Good"
"Guatemala",7.42,7.33,7.42,4,1310.64,2013,"Poor"
"Philippines",6.83,6.5,6.92,2,1000,2012,"Poor"
"Colombia",7.75,7.58,7.5,0,1650,2014,"Good"
"Nicaragua",7.17,7.08,7.33,2,1187.5,2015,"Poor"
"Taiwan",7.25,7.25,7,0,250,2014,"Poor"
"United States (Hawaii)",7.92,6.83,7.42,0,NA,NA,"Poor"
"Mexico",7.67,7.33,7.5,1,940,2012,"Poor"
"Mexico",7.67,7.83,7.83,0,1600,2017,"Good"
"Guatemala",7.5,7.75,7.83,1,1500,2015,"Good"
"Mexico",7.92,8.17,8.08,0,1400,2011,"Good"
"Mexico",7.58,7.17,7.17,0,1500,2012,"Poor"
"El Salvador",8.08,7.83,8.08,0,1400,2010,"Good"
"India",8,7.92,8,0,3000,2012,"Good"
"Mexico",7.58,7.5,7.58,6,1300,2013,"Poor"
"Guatemala",7.5,7.58,7.83,7,2100,2016,"Good"
"Mexico",7.17,7.08,7.25,3,1300,2012,"Poor"
"Vietnam",7,7.08,7.5,0,1040,2014,"Poor"
"Nicaragua",7.58,7.5,7.25,1,NA,NA,"Poor"
"Costa Rica",8.17,7.83,8.08,0,1300,2016,"Good"
"Costa Rica",8.17,8,7.17,0,1750,2014,"Good"
"United States (Hawaii)",7.58,7.83,7.92,2,NA,2014,"Good"
"Thailand",7.5,7.58,7.5,0,1200,2015,"Good"
"Nicaragua",7.58,7.42,7.17,4,NA,2013,"Poor"
"Colombia",7.5,7.58,7.67,0,1625,2012,"Good"
"Tanzania, United Republic Of",7.58,7.5,7.75,1,1800,2014,"Good"
"Mexico",7.33,7.33,7.5,10,1250,2012,"Poor"
"Ethiopia",7.67,8,8,5,NA,2010,"Good"
"Honduras",7.5,7.5,7.5,1,1600,2017,"Poor"
"Colombia",7.75,7.58,7.67,6,NA,2016,"Poor"
"Mexico",7.08,6.75,7,6,1500,2012,"Poor"
"Ethiopia",7.83,7.75,7.75,1,1800,2017,"Good"
"China",8,8,7.83,0,1700,2015,"Good"
"Ethiopia",7.5,7.92,7.83,5,1606.5,2014,"Good"
"Costa Rica",7.58,7.42,7.17,1,13,2015,"Poor"
"Guatemala",7.42,7.42,7.5,4,1500,2014,"Poor"
"Cote d?Ivoire",7.42,7.25,7,2,200,2016,"Poor"
"Kenya",8.08,7.67,7.58,0,1700,2017,"Good"
"Mexico",7.42,7.58,7.33,7,1300,2012,"Poor"
"Guatemala",7.67,7.5,7.67,3,1752.6,2012,"Poor"
"Mexico",7.67,7.67,7.67,0,1100,2013,"Good"
"Uganda",7.83,8.08,7.92,2,1488,2013,"Good"
"Guatemala",7.58,7.33,7.33,4,NA,2012,"Poor"
"Mexico",7.5,7.42,7.33,1,1650,2012,"Poor"
"Colombia",7.33,7.33,6.83,1,1800,2010,"Poor"
"Peru",7.42,7.42,7.33,5,NA,2013,"Poor"
"Guatemala",7.75,7.75,7.92,4,1500,2016,"Good"
"Honduras",7.83,7.75,7.67,4,1450,2014,"Good"
"Brazil",7.42,7.58,7.5,3,894,2016,"Poor"
"Colombia",7.75,7.75,7.67,1,NA,2016,"Poor"
"Taiwan",7.5,7.67,7.92,0,1200,2015,"Good"
"Mexico",7.75,7.75,7.92,0,1000,2012,"Good"
"Taiwan",7.83,7.92,7.83,0,750,2015,"Good"
"Costa Rica",7.92,7.58,7.75,14,NA,2012,"Poor"
"Indonesia",8.17,7.67,7.58,0,1400,2012,"Good"
"Brazil",7.33,7.67,7.17,0,1038.5,2012,"Poor"
"United States (Hawaii)",7.17,7.5,7.33,7,NA,2012,"Poor"
"United States (Hawaii)",7.25,7.75,7.83,0,NA,2012,"Good"
"Brazil",7.58,7.75,7.75,3,934,2016,"Good"
"Taiwan",7.83,7.83,8,0,1200,2012,"Good"
"Brazil",7.42,7.5,7.5,1,1050,2012,"Poor"
"Mexico",7.67,7.5,7.33,11,1100,2012,"Good"
"Colombia",7.58,7.67,7.58,0,1750,2012,"Good"
"United States (Hawaii)",7.17,7.17,7.58,17,NA,2012,"Poor"
"Brazil",7.75,7.58,7.42,0,1100,2015,"Poor"
"Guatemala",7.58,7.67,7.58,3,1524,2014,"Poor"
"Mexico",7.58,7.58,7.75,0,1200,2012,"Good"
"Mexico",7.42,7.25,7.58,6,1400,2013,"Poor"
"Mexico",7.75,7.92,7.67,4,900,2012,"Good"
"Indonesia",7.75,7.83,8,3,1325,2012,"Good"
"Guatemala",7.17,6.17,7.08,7,NA,2012,"Poor"
"Vietnam",7.42,7.25,7.58,2,1550,2017,"Poor"
"Brazil",6.92,7.58,7.33,1,1,2016,"Poor"
"Colombia",7.92,7.83,7.83,1,1775,2015,"Good"
"Colombia",7.83,7.58,7.25,0,442,2012,"Poor"
"Brazil",7.33,7.67,7.33,3,1,2016,"Good"
"Guatemala",7.92,7.67,7.25,1,NA,NA,"Good"
"Mexico",7.58,7.5,7.5,7,1425,2015,"Poor"
"Brazil",7.33,7.5,7.58,9,NA,2014,"Good"
"Taiwan",7.5,7.58,7.33,9,775,2014,"Good"
"Costa Rica",7.5,7.25,7.33,4,1300,2013,"Poor"
"Mexico",7.17,6.75,6.75,3,1300,2012,"Poor"
"Mexico",7.33,7.58,7.58,4,1650,2012,"Poor"
"United States (Hawaii)",7.92,7.5,7.83,4,NA,2012,"Good"
"Vietnam",7.67,8,7.08,2,1040,2012,"Poor"
"Tanzania, United Republic Of",7.58,7.17,7.33,2,1550,2014,"Poor"
"Costa Rica",7.92,7.83,7.83,0,1700,2014,"Good"
"Brazil",7.5,7.58,7.75,4,890,2018,"Good"
"Mexico",7.58,7.42,7.42,5,1600,2012,"Poor"
"Honduras",7.67,7.5,7.5,3,1350,2015,"Good"
"Mexico",7.33,7.5,7.5,0,1600,2012,"Poor"
"China",7.83,7.75,7.5,2,1650,2015,"Good"
"Mexico",7.33,7,7,5,1500,2012,"Poor"
"United States (Hawaii)",7.58,7.83,7.75,0,NA,2013,"Good"
"Guatemala",7.33,7.33,7.17,2,1310.64,2013,"Poor"
"Burundi",7.75,7.67,7.5,5,1880,2012,"Good"
"United States (Hawaii)",7.42,7.58,7.92,0,NA,NA,"Poor"
"Mexico",7.25,7.25,7.17,9,1250,2012,"Poor"
"Taiwan",8,8,8.25,0,1200,2015,"Good"
"Brazil",7.42,7.67,7.5,13,NA,2015,"Good"
"United States (Hawaii)",7.5,7.08,7.67,13,NA,2014,"Poor"
"Colombia",7.5,7.75,7.5,2,1450,2012,"Good"
"Nicaragua",7.25,7.17,7.25,4,NA,2013,"Poor"
"Colombia",7.33,7.42,7.33,1,1750,2011,"Poor"
"Guatemala",7.5,7.5,7.42,0,1219.2,2017,"Poor"
"Honduras",7.42,7.33,7.42,1,1450,2015,"Poor"
"Mexico",7.42,7.42,7.5,0,1550,2014,"Poor"
"Guatemala",7.5,7.58,7.67,3,1100,NA,"Good"
"Brazil",8,8,7.67,1,1250,2011,"Good"
"Brazil",7.5,7.83,7.58,5,1227,2016,"Good"
"Colombia",8.08,7.67,7.83,0,1800,2016,"Good"
"Taiwan",7.67,7.83,7.58,0,800,2015,"Good"
"Panama",8,7.75,7.83,2,1680,2014,"Good"
"Nicaragua",7.67,7.83,7.5,0,1000,2015,"Good"
"Mexico",7.25,6.83,7,0,1320,2012,"Poor"
"Costa Rica",7.58,7.83,8,3,1300,2016,"Good"
"Kenya",8.17,7.83,7.75,7,1,2015,"Good"
"Tanzania, United Republic Of",7.75,7.67,7.67,21,1400,2015,"Good"
"Guatemala",6.67,6.5,7,10,NA,2012,"Poor"
"China",7.67,8,7.83,2,1100,2013,"Good"
"India",7.67,7.33,6.67,0,NA,2016,"Poor"
"Ecuador",7.75,7.58,7.58,1,NA,2016,"Poor"
"United States (Hawaii)",7.25,7.75,7.67,0,NA,NA,"Poor"
"Mexico",7.67,7.42,7.42,0,1130,2016,"Poor"
"Tanzania, United Republic Of",7.58,7.67,7.58,6,1653,2014,"Good"
"United States (Hawaii)",7.83,7.58,7.67,1,NA,2014,"Good"
"India",7.75,7.75,7.67,0,1000,2015,"Poor"
"Guatemala",7.42,7.25,7.5,8,3280,2016,"Poor"
"Brazil",7.58,7.83,7.42,1,1200,2015,"Good"
"Guatemala",7.42,7.33,7.58,1,1310.64,2013,"Poor"
"Honduras",7.5,7.5,7.33,4,1350,2014,"Poor"
"Thailand",7.58,7.75,7.75,0,NA,2011,"Good"
"Mexico",7.67,7,7.58,19,1250,2012,"Poor"
"Brazil",7.92,7.58,7.58,4,950,2012,"Good"
"Colombia",7.67,7.58,7.42,0,NA,2016,"Good"
"Mexico",7.42,7.5,7.58,0,1296,2014,"Poor"
"Guatemala",7.5,7.25,7.25,1,1219.2,2015,"Poor"
"Guatemala",7.58,7.58,7.67,2,1219.2,2015,"Good"
"Taiwan",7.5,7.5,7.25,0,150,2014,"Poor"
"Guatemala",7.83,8.08,8,1,1325.88,2010,"Good"
"Taiwan",8,7.83,7.42,0,1200,2014,"Good"
"Taiwan",7.92,7.67,7.08,0,550,2014,"Poor"
"Uganda",8.33,7.83,7.75,3,1250,2013,"Good"
"Zambia",7.67,7.08,7.33,3,1250,2014,"Poor"
"Kenya",7.92,8.17,8.5,1,1860,2013,"Good"
"United States",8.25,8.33,8.17,0,2112,2014,"Good"
"Honduras",7.58,7.58,7.5,4,1400,2017,"Good"
"El Salvador",7.33,7.67,7.83,4,1250,2016,"Good"
"Costa Rica",7.5,7.5,7.17,0,1300,2015,"Poor"
"Guatemala",7.83,7.67,7.67,2,1310.64,2013,"Good"
"El Salvador",7.75,8,8.33,3,1200,2011,"Good"
"Guatemala",7.67,7.17,7.5,5,1550,2013,"Poor"
"Kenya",7.83,8.08,8.08,2,1600,2012,"Good"
